topic,engine,query,notes
RF Generator,google,"(\"RF generator\" OR \"RF power supply\" OR \"RF source\" OR \"RF amplifier\") (plasma OR etch OR CVD OR PVD OR ALD) - (\"microwave oven\" OR \"medical diathermy\") after:2005 before:2031","broad_keyword"
RF Generator,google,"(\"RF generator\" OR \"RF power supply\") (13.56 OR 27.12 OR 40.68 OR 60 OR 2.45) (GaN OR LDMOS OR \"class E\" OR \"class F\") (plasma OR CVD OR etch) - (\"microwave oven\" OR \"medical diathermy\") after:2005 before:2031","keyword_freq: add frequency & topology anchors"
RF Generator,google,"(GaN OR LDMOS) (\"RF amplifier\" OR \"RF power supply\") (heatsink OR cooling OR efficiency OR \"power density\") (plasma OR etch OR CVD) - (\"microwave oven\" OR \"medical diathermy\") after:2005 before:2031","device: semiconductor device focus"
RF Generator,google,"(\"RF generator\" OR \"RF power supply\") (\"model predictive control\" OR \"PID\" OR \"pulsed RF\" OR \"multi-frequency\" OR \"harmonic control\") (plasma OR etch OR CVD) - (\"microwave oven\" OR \"medical diathermy\") after:2005 before:2031","algo: control & modulation methods"
RF Generator,google,"(\"RF generator\" OR \"RF power supply\") (\"VI probe\" OR sensing OR telemetry OR monitoring) (plasma OR etch OR CVD) - (\"microwave oven\" OR \"medical diathermy\") after:2005 before:2031","sensing: integration with measurement"
RF Generator,google,"(\"RF generator\" OR \"RF power supply\") (H05H OR H02M OR H03K) (plasma OR etch OR CVD) - (\"microwave oven\" OR \"medical diathermy\") after:2005 before:2031","cpc_keyword: include key CPC roots"
RF Generator,google,"(intitle:\"RF generator\" OR intitle:\"RF power supply\") (plasma OR etch OR CVD OR PVD) (13.56 OR 27.12 OR 40.68) - (\"microwave oven\" OR \"medical diathermy\") after:2005 before:2031","title_abstract_bias: title emphasis + freq"
RF Generator,google,"(\"RF generator\" OR \"RF power supply\") (\"plasma etch\" OR \"PECVD\" OR \"ALD\" OR sputter) - (\"microwave oven\" OR \"medical diathermy\") after:2005 before:2031","process_specific: explicit process anchors"
RF Generator,espacenet,"(ti,ab all (\"RF generator\" or \"RF power supply\" or \"RF source\")) and (plasma or etch or CVD or PVD or ALD) and not (\"microwave oven\" or \"medical diathermy\")","broad_keyword"
RF Generator,espacenet,"(ti,ab all (\"RF generator\" or \"RF power supply\")) and (13.56 or 27.12 or 40.68 or 60) and (GaN or LDMOS or \"class E\" or \"class F\") and not (\"microwave oven\" or \"medical diathermy\")","keyword_freq"
RF Generator,espacenet,"(class H05H or H02M) and (ti,ab all (GaN or LDMOS)) and (plasma) and not (\"microwave oven\" or \"medical diathermy\")","device"
RF Generator,espacenet,"(ti,ab all (\"pulsed RF\" or \"multi-frequency\" or \"model predictive control\" or PID)) and (plasma) and not (\"microwave oven\" or \"medical diathermy\")","algo"
RF Generator,espacenet,"(ti,ab all (\"VI probe\" or sensing or telemetry)) and (\"RF power\" or \"RF generator\") and not (\"microwave oven\" or \"medical diathermy\")","sensing"
RF Generator,espacenet,"(class H05H or H02M or H03K) and (ti,ab all (\"RF generator\" or \"RF power supply\")) and not (\"microwave oven\" or \"medical diathermy\")","cpc_keyword"
RF Generator,espacenet,"(ti,ab all (\"RF generator\" or \"RF power supply\")) and (etch or CVD or PVD or ALD) and not (\"microwave oven\" or \"medical diathermy\")","process_specific"
Matching Network,google,"(\"matching network\" OR \"impedance matching\" OR matchbox OR tuner OR \"impedance tuner\") (plasma OR etch OR CVD OR PVD OR ALD) after:2005 before:2031","broad_keyword"
Matching Network,google,"(\"matching network\" OR \"impedance matching\") (auto-matching OR adaptive OR autotune OR algorithm) (13.56 OR 27.12 OR 40.68) (plasma OR etch) after:2005 before:2031","keyword_freq: include automation + freq"
Matching Network,google,"(\"matching network\" OR \"impedance tuner\") (hybrid OR solid-state OR \"pi network\" OR \"π network\") (plasma) after:2005 before:2031","device: hardware topology focus"
